,District,Borough,Building ID,School,Project #,Description,FY,Total
42,08,Bronx,X125,I.S. 125,DSF0000912223,State of Good Repair - System Replacements - Electrical Systems,2020,160000
43,08,Bronx,X140,P.S. 140,DSF0000798531,State of Good Repair - System Replacements - Domestic Piping,2020,854696
44,08,Bronx,X174,I.S. 174,DSF0000912146,State of Good Repair - System Replacements - Electrical Systems,2020,370000
45,09,Bronx,X058,P.S. 58,DSF0000912124,State of Good Repair - System Replacements - Electrical Systems,2020,240000
46,09,Bronx,X073,P.S. 73,DSF0000912129,State of Good Repair - System Replacements - Electrical Systems,2020,170000
47,09,Bronx,X090,P.S. 90,DSF0000912132,State of Good Repair - System Replacements - Electrical Systems,2020,40000
48,09,Bronx,X104,P.S. 199,DSF0000912134,State of Good Repair - System Replacements - Electrical Systems,2020,270000
49,09,Bronx,X126,P.S. 126 (ECF),DSF0000912138,State of Good Repair - System Replacements - Electrical Systems,2020,260000
50,09,Bronx,X145,I.S. 145,DSF0000908640,State of Good Repair - System Replacements - Roofs,2020,3708946
51,09,Bronx,X145,I.S. 145,DSF0000908641,State of Good Repair - System Replacements - Parapets,2020,729583
52,09,Bronx,X145,I.S. 145,DSF0000908642,State of Good Repair - System Replacements - Exterior Masonry,2020,5629996
53,09,Bronx,X145,I.S. 145,DSF0000912246,Educational Enhancements - Educational Enhancements - School Improvement and Restructuring,2020,115000
54,09,Bronx,X145,I.S. 145,DSF0000912165,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2020,731000
55,09,Bronx,X145,I.S. 145,DSF0000912247,Educational Enhancements - Educational Enhancements - School Improvement and Restructuring,2020,218000
56,09,Bronx,X147,I.S. 339 (OLD 147),DSF0000912142,State of Good Repair - System Replacements - Electrical Systems,2020,30000
57,09,Bronx,X166,I.S. 166,DSF0000912145,State of Good Repair - System Replacements - Electrical Systems,2020,193400
58,09,Bronx,X338,MORRIS HEIGHTS EDUCATIONAL COMPLEX,DSF0000911284,State of Good Repair - System Replacements - Parapets,2022,1194155
59,10,Bronx,X008,P.S. 8,DSF0000906383,State of Good Repair - System Replacements - Exterior Masonry,2021,2622513
60,10,Bronx,X008,P.S. 8,DSF0000906382,State of Good Repair - System Replacements - Parapets,2021,1817114
61,10,Bronx,X008,P.S. 8,DSF0000906381,State of Good Repair - System Replacements - Roofs,2021,4230642
62,10,Bronx,X079,P.S. 79,DSF0000912131,State of Good Repair - System Replacements - Electrical Systems,2020,193400
63,10,Bronx,X115,I.S. 399 (OLD X HS/115),DSF0000912135,State of Good Repair - System Replacements - Electrical Systems,2020,160000
64,10,Bronx,X122,P.S. 310,DSF0000912137,State of Good Repair - System Replacements - Electrical Systems,2020,300000
65,10,Bronx,X141,M.S./H.S. 141,DSF0000912210,State of Good Repair - System Replacements - Electrical Systems,2020,653683
66,10,Bronx,X143,I.S. 143,DSF0000912140,State of Good Repair - System Replacements - Electrical Systems,2020,190000
67,10,Bronx,X206,I.S. 206B,DSF0000909253,State of Good Repair - Building Upgrade - Flood Elimination,2022,722255
68,10,Bronx,X206,I.S. 206B,DSF0000909255,State of Good Repair - System Replacements - Parapets,2022,1710775
69,10,Bronx,X306,P.S. 306,DSF0000912212,State of Good Repair - System Replacements - Electrical Systems,2020,1442459
70,10,Bronx,X826,P.S. 226 MINISCHOOL,DSF0000912148,State of Good Repair - System Replacements - Electrical Systems,2020,130000
71,10,Bronx,X853,P.S. 59 ANNEX,DSF0000909948,State of Good Repair - System Replacements - Roofs,2021,953520
72,11,Bronx,X041,P.S. 41,DSF0000912121,State of Good Repair - System Replacements - Electrical Systems,2020,210000
73,11,Bronx,X078,P.S. 78,DSF0000912130,State of Good Repair - System Replacements - Electrical Systems,2020,110000
74,11,Bronx,X144,I.S. 144,DSF0000912141,State of Good Repair - System Replacements - Electrical Systems,2020,193400
75,11,Bronx,X160,P.S. 160,DSF0000908894,State of Good Repair - System Replacements - Exterior Masonry,2021,3328574
76,11,Bronx,X160,P.S. 160,DSF0000908893,State of Good Repair - System Replacements - Parapets,2021,3634229
77,12,Bronx,X006,P.S. 6,DSF0000906343,State of Good Repair - Building Upgrade - Flood Elimination,2022,1406601
78,12,Bronx,X006,P.S. 6,DSF0000906348,State of Good Repair - System Replacements - Exterior Masonry,2022,6351875
79,12,Bronx,X006,P.S. 6,DSF0000906347,State of Good Repair - System Replacements - Parapets,2022,3962492
80,12,Bronx,X006,P.S. 6,DSF0000906346,State of Good Repair - System Replacements - Roofs,2022,1591507
81,12,Bronx,X057,P.S. 57,DSF0000912123,State of Good Repair - System Replacements - Electrical Systems,2020,240000
82,12,Bronx,X061,P.S. 61,DSF0000912126,State of Good Repair - System Replacements - Electrical Systems,2020,170000
83,12,Bronx,X067,P.S. 67,DSF0000912128,State of Good Repair - System Replacements - Electrical Systems,2020,170000
84,12,Bronx,X102,P.S. 102,DSF0000912208,State of Good Repair - System Replacements - Electrical Systems,2020,684759
85,12,Bronx,X134,P.S. 134,DSF0000912139,State of Good Repair - System Replacements - Electrical Systems,2020,180000
86,12,Bronx,X167,P.S. 214,DSF0000908962,State of Good Repair - System Replacements - Parapets,2022,2784004
87,12,Bronx,X193,P.S. 211,DSF0000912211,State of Good Repair - System Replacements - Electrical Systems,2020,663790
88,12,Bronx,X198,P.S. 198,DSF0000909221,State of Good Repair - System Replacements - Parapets,2020,2822030
89,12,Bronx,X198,P.S. 198,DSF0000909220,State of Good Repair - System Replacements - Roofs,2020,4397586
90,12,Bronx,X198,P.S. 198,DSF0000909222,State of Good Repair - System Replacements - Windows,2020,4851855
91,12,Bronx,X198,P.S. 198,DSF0000912245,Educational Enhancements - Educational Enhancements - School Improvement and Restructuring,2020,176000
92,12,Bronx,X198,P.S. 198,DSF0000909223,State of Good Repair - System Replacements - Exterior Masonry,2020,2967601
93,13,Brooklyn,K046,P.S. 46,DSF0000912046,State of Good Repair - System Replacements - Electrical Systems,2020,193400
94,13,Brooklyn,K093,P.S. 93,DSF0000892333,State of Good Repair - System Replacements - Windows,2022,9572956
95,13,Brooklyn,K093,P.S. 93,DSF0000892329,State of Good Repair - Building Upgrade - Flood Elimination,2022,1321294
96,13,Brooklyn,K093,P.S. 93,DSF0000866780,State of Good Repair - System Replacements - Electrical Systems,2020,9536
97,13,Brooklyn,K093,P.S. 93,DSF0000892334,State of Good Repair - System Replacements - Exterior Masonry,2022,4516889
98,13,Brooklyn,K093,P.S. 93,DSF0000892332,State of Good Repair - System Replacements - Parapets,2022,2641661
99,13,Brooklyn,K093,P.S. 93,DSF0000892331,State of Good Repair - System Replacements - Roofs,2022,2546411
100,13,Brooklyn,K265,I.S. 265,DSF0000895099,State of Good Repair - System Replacements - Roofs,2020,3304334
101,13,Brooklyn,K265,I.S. 265,DSF0000895100,State of Good Repair - System Replacements - Parapets,2020,2003897
102,13,Brooklyn,K265,I.S. 265,DSF0000895098,State of Good Repair - Building Upgrade - Flood Elimination,2020,1810185
103,13,Brooklyn,K265,I.S. 265,DSF0000895101,State of Good Repair - System Replacements - Exterior Masonry,2020,3070907
104,13,Brooklyn,K270,P.S. 270,DSF0000912070,State of Good Repair - System Replacements - Electrical Systems,2020,130000
105,14,Brooklyn,K023,P.S. 23,DSF0000912044,State of Good Repair - System Replacements - Electrical Systems,2020,220000
106,14,Brooklyn,K147,P.S. 147,DSF0000912051,State of Good Repair - System Replacements - Electrical Systems,2020,260000
107,14,Brooklyn,K319,P.S. 319,DSF0000895802,State of Good Repair - System Replacements - Roofs,2020,1357439
108,14,Brooklyn,K319,P.S. 319,DSF0000895803,State of Good Repair - System Replacements - Windows,2020,1314643
109,16,Brooklyn,K243,P.S. 243,DSF0000894742,State of Good Repair - System Replacements - Parapets,2020,1113071
110,16,Brooklyn,K243,P.S. 243,DSF0000894741,State of Good Repair - System Replacements - Roofs,2020,4206386
111,16,Brooklyn,K243,P.S. 243,DSF0000894743,State of Good Repair - System Replacements - Exterior Masonry,2020,2584684
112,17,Brooklyn,K022,P.S. 22,DSF0000891499,State of Good Repair - System Replacements - Parapets,2022,2262003
113,17,Brooklyn,K061,I.S. 61,DSF0000912047,State of Good Repair - System Replacements - Electrical Systems,2020,100000
114,17,Brooklyn,K167,P.S. 167,DSF0000912056,State of Good Repair - System Replacements - Electrical Systems,2020,193400
115,17,Brooklyn,K210,I.S. 394,DSF0000912060,State of Good Repair - System Replacements - Electrical Systems,2020,180000
116,17,Brooklyn,K241,P.S. 241,DSF0000912066,State of Good Repair - System Replacements - Electrical Systems,2020,170000
117,17,Brooklyn,K246,I.S. 246,DSF0000911935,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2020,577000
118,17,Brooklyn,K249,P.S. 249,DSF0000912217,State of Good Repair - System Replacements - Electrical Systems,2020,426193
119,17,Brooklyn,K249,P.S. 249,DSF0000912067,State of Good Repair - System Replacements - Electrical Systems,2020,230000
120,17,Brooklyn,K320,P.S. 375,DSF0000912071,State of Good Repair - System Replacements - Electrical Systems,2020,100000
121,17,Brooklyn,K398,P.S. 398 (UDC),DSF0000912075,State of Good Repair - System Replacements - Electrical Systems,2020,193400
122,17,Brooklyn,K474,P.S. 167 GYM ANNEX,DSF0000889558,System Expansion - New Construction-Common-Facilities-Additions - Gymnasiums,2020,8133489
123,18,Brooklyn,K068,I.S. 68,DSF0000892088,State of Good Repair - Building Upgrade - Flood Elimination,2021,2112653
124,18,Brooklyn,K068,I.S. 68,DSF0000892091,State of Good Repair - System Replacements - Exterior Masonry,2021,4745681
125,18,Brooklyn,K068,I.S. 68,DSF0000892090,State of Good Repair - System Replacements - Roofs,2021,3979022
126,18,Brooklyn,K114,P.S. 114,DSF0000891000,Code Compliance,2020,2540000
127,18,Brooklyn,K219,P.S. 219,DSF0000912064,State of Good Repair - System Replacements - Electrical Systems,2020,160000
128,18,Brooklyn,K268,P.S. 268,DSF0000798518,State of Good Repair - System Replacements - Domestic Piping,2020,796187
129,18,Brooklyn,K276,P.S. 276,DSF0000895260,State of Good Repair - System Replacements - Windows,2021,6816274
130,19,Brooklyn,K149,P.S. 149,DSF0000912052,State of Good Repair - System Replacements - Electrical Systems,2020,170000
131,19,Brooklyn,K159,P.S. 159,DSF0000912055,State of Good Repair - System Replacements - Electrical Systems,2020,30000
132,19,Brooklyn,K166,I.S. 166,DSF0000893392,State of Good Repair - System Replacements - Exterior Masonry,2022,4930556
133,19,Brooklyn,K166,I.S. 166,DSF0000893391,State of Good Repair - System Replacements - Parapets,2022,2052930
134,19,Brooklyn,K202,P.S. 202,DSF0000888883,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground Redevelopment,2020,6559173
135,19,Brooklyn,K202,P.S. 202,DSF0000912059,State of Good Repair - System Replacements - Electrical Systems,2020,280000
136,19,Brooklyn,K214,P.S. 214,DSF0000912061,State of Good Repair - System Replacements - Electrical Systems,2020,220000
137,19,Brooklyn,K218,I.S. 218,DSF0000912063,State of Good Repair - System Replacements - Electrical Systems,2020,300000
138,19,Brooklyn,K260,P.S. 260,DSF0000895028,State of Good Repair - System Replacements - Roofs,2020,3083090
139,19,Brooklyn,K260,P.S. 260,DSF0000895029,State of Good Repair - System Replacements - Parapets,2020,1567794
140,19,Brooklyn,K345,P.S. 345,DSF0000912072,State of Good Repair - System Replacements - Electrical Systems,2020,350000
141,20,Brooklyn,K104,P.S. 104,DSF0000798504,State of Good Repair - System Replacements - Domestic Piping,2020,796187
142,20,Brooklyn,K112,P.S. 112,DSF0000892622,State of Good Repair - Building Upgrade - Flood Elimination,2021,718089
143,20,Brooklyn,K112,P.S. 112,DSF0000892625,State of Good Repair - System Replacements - Exterior Masonry,2021,2680150
