,Sited,Leased,District,Project #,School,Forecast Capacity,Design Start,Construction Start,Actual Est. Comp,Total Est. Comp,Previous Appropriations,Funding Req'D FY 20-24,Needed to Complete,Borough,Location,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
49,,,25,DSF0000911835,PROJECT #3,476,Jan-22,Apr-23,Apr-26,74.11,0.0,67.35,6.76,,,,,,,,,,,
50,,L,14,DSF0000687094,PROJECT #1,612,Jun-23,Sep-24,Jun-27,28.01,0.11,2.11,25.78,,,,,,,,,,,
51,,,26,DSF0000889663,PROJECT #3,476,Jul-19,Oct-20,Jun-23,63.28,0.06,63.22,0.0,,,,,,,,,,,
52,*,,26,DSF0000798204,P.S. 46 ADDITION,440,Sep-18,Dec-19,Sep-22,56.25,4.52,51.73,0.0,Queens,64-45 218 STREET,11364.0,40.746202000000004,-73.758752,11.0,23.0,1367.0,4162449.0,4076190001.0,Oakland Gardens
53,,,21,DSF0000911841,PROJECT #2,476,Mar-21,Jun-22,Mar-26,71.3,0.0,64.8,6.5,,,,,,,,,,,
54,,,11,DSF0000911831,PROJECT #1,824,Jun-20,Dec-21,Jun-25,127.55,0.0,118.55,9.0,,,,,,,,,,,
55,,,20,DSF0000798187,PROJECT #1,824,Jan-20,Apr-21,Jun-24,137.71,10.3,127.41,0.0,,,,,,,,,,,
56,,,24,DSF0000889651,PROJECT #2,640,Jul-19,Sep-20,Apr-23,96.62,0.02,96.6,0.0,,,,,,,,,,,
57,,,10,DSF0000843830,PROJECT #1,824,Jun-22,Dec-23,Jun-27,134.58,0.01,119.84,14.72,,,,,,,,,,,
58,,,25,DSF0000911839,PROJECT #4,476,Sep-22,Dec-23,Sep-26,75.52,0.0,67.3,8.22,,,,,,,,,,,
59,,L,27,DSF0000798206,PROJECT #2,640,Jun-20,Sep-21,Sep-24,28.1,0.12,27.19,0.79,,,,,,,,,,,
60,,,15,DSF0000866091,PROJECT #1,640,Mar-20,Jun-21,Jun-24,99.43,0.0,99.43,0.0,,,,,,,,,,,
61,,,25,DSF0000911845,PROJECT #6,640,Jan-22,Apr-23,Apr-26,100.83,0.0,91.6,9.23,,,,,,,,,,,
62,,,21,DSF0000911840,PROJECT #1,476,Mar-23,Jun-24,Mar-27,78.33,0.0,69.8,8.53,,,,,,,,,,,
63,,,14,DSF0000798240,PROJECT #2,379,Nov-20,Feb-22,Sep-24,57.25,0.0,55.65,1.6,,,,,,,,,,,
64,*,,7,DSF0000889308,P.S. @ ST. ANN'S AVENUE,572,Jan-19,Apr-20,Mar-23,85.35,6.66,78.69,0.0,,,,,,,,,,,
65,*,L,13,DSF0000843660,P.S. @ ALBEE SQUARE WEST,332,Jul-17,Sep-21,Jun-23,29.86,2.35,27.51,0.0,Brooklyn,420 ALBEE SQUARE WEST,11201.0,40.691157000000004,-73.983459,2.0,33.0,15.0,3000316.0,3001460043.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
66,,,22,DSF0000911846,PROJECT #2,640,Mar-21,Jun-22,Jun-25,99.43,0.0,92.43,7.0,,,,,,,,,,,
67,,,7,DSF0000798173,PROJECT #1,572,Jun-20,Oct-21,Jun-24,92.38,0.11,92.26,0.0,,,,,,,,,,,
68,*,L,31,DSF0000889041,P.S. 13 ANNEX,132,Sep-18,Jul-19,Sep-20,14.05,1.13,12.93,0.0,Staten Island,457 TOMKINS AVENUE,,,,,,,,,
69,,,20,DSF0000798190,PROJECT #5,476,Jun-21,Sep-22,Jun-25,74.11,0.02,67.6,6.49,,,,,,,,,,,
70,,,31,DSF0000911847,PROJECT #1,476,Mar-22,Jun-23,Mar-26,74.11,0.0,67.35,6.76,,,,,,,,,,,
71,,L,78Q,DSF0000911858,PROJECT #2,1202,Nov-21,Mar-23,Jun-26,186.87,0.0,169.58,17.29,,,,,,,,,,,
72,,,28,DSF0000911862,PROJECT #3,640,Mar-21,Jun-22,Jun-25,99.43,0.0,92.43,7.0,,,,,,,,,,,
73,,,31,DSF0000911848,PROJECT #3,476,Mar-23,Jun-24,Mar-27,76.92,0.0,68.55,8.37,,,,,,,,,,,
74,*,,15,DSF0000888773,P.S./H.S. @ SCHERMERHORN STREET,382,Mar-18,May-20,Jun-23,2.05,2.05,0.0,0.0,Brooklyn,362 SCHERMERHORN STREET,11217.0,40.686499,-73.979649,2.0,33.0,39.0,3331754.0,3001740001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
75,,L,20,DSF0000911838,PROJECT #9,824,Jun-21,Dec-22,Jun-26,49.18,0.0,44.63,4.55,,,,,,,,,,,
76,,L,30,DSF0000798211,PROJECT #2,640,Mar-20,Jun-21,Jun-24,28.1,0.03,28.07,0.0,,,,,,,,,,,
77,,,31,DSF0000911852,PROJECT #5,476,Mar-22,Jun-23,Mar-26,74.11,0.0,67.35,6.76,,,,,,,,,,,
78,,L,26,DSF0000911853,PROJECT #2,824,Jan-22,Apr-23,Apr-26,129.26,0.0,117.3,11.96,,,,,,,,,,,
79,,L,28,DSF0000911860,PROJECT #2,640,Sep-22,Dec-23,Mar-27,28.1,0.0,25.0,3.1,,,,,,,,,,,
80,,,31,DSF0000911854,PROJECT #6,692,Sep-22,Dec-23,Jun-27,106.45,0.0,94.83,11.63,,,,,,,,,,,
81,,,29,DSF0000911864,PROJECT #2,476,Sep-22,Dec-23,Jun-26,76.92,0.0,68.55,8.37,,,,,,,,,,,
82,,,11,DSF0000889274,PROJECT #3,476,Jun-19,Sep-20,Jun-23,63.28,5.06,58.22,0.0,,,,,,,,,,,
83,,L,2,DSF0000798172,PROJECT #1,476,Mar-20,Jun-21,Mar-24,21.84,1.02,20.83,0.0,,,,,,,,,,,
84,,,26,DSF0000911855,PROJECT #1,640,Sep-22,Dec-23,Mar-27,106.45,0.0,94.83,11.63,,,,,,,,,,,
85,,L,15,DSF0000890667,PROJECT #2,640,Jun-21,Sep-22,Sep-25,29.87,0.01,27.21,2.64,,,,,,,,,,,
86,,,78Q,DSF0000889275,PROJECT #4,1202,May-20,Jan-22,Sep-25,179.08,38.12,128.64,12.32,,,,,,,,,,,
87,*,,2,DSF0000424314,P.S./I.S. @ WESTERN RAILYARDS,766,Apr-19,Jul-21,Sep-24,106.29,8.45,94.91,2.93,,,,,,,,,,,
